"name","Provider","Price","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","link"
"Inexpensive B&B","Expedia.com","AMD 24,648","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d15353040-Reviews-Inexpensive_B_B-Vanadzor_Lori_Province.html"
"Lori-Tour Guests House","Booking.com","AMD 8,333","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d13839910-Reviews-Lori_Tour_Guests_House-Vanadzor_Lori_Province.html"
"Nairi Hotel","Expedia.com","AMD 12,500","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d15081528-Reviews-Nairi_Hotel-Vanadzor_Lori_Province.html"
"Ruben's Hotel","Booking.com","AMD 9,992","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d7315105-Reviews-Ruben_s_Hotel-Vanadzor_Lori_Province.html"
"Vanadzor Hostel","Expedia.com","AMD 17,500","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d12148166-Reviews-Vanadzor_Hostel-Vanadzor_Lori_Province.html"
"VAN Garden","Booking.com","AMD 7,990","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d15604706-Reviews-VAN_Garden-Vanadzor_Lori_Province.html"
"Argishti Hotel","Booking.com","AMD 17,075","12 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d1438482-Reviews-Argishti_Hotel-Vanadzor_Lori_Province.html"
"Green House Hotel","Booking.com","AMD 7,492","2 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d3428683-Reviews-Green_House_Hotel-Vanadzor_Lori_Province.html"
"B&B Gabriela","Booking.com","AMD 9,992","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d15349904-Reviews-B_B_Gabriela-Vanadzor_Lori_Province.html"
"Gross Hotel","Booking.com","AMD 12,492","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d3152364-Reviews-Gross_Hotel-Vanadzor_Lori_Province.html"
"Vanadzor Hotel & Restaurant","Booking.com","AMD 18,000","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d7371965-Reviews-Vanadzor_Hotel_Restaurant-Vanadzor_Lori_Province.html"
"Hyatt Place Jermuk","Booking.com","AMD 20,825","172 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g2708780-d8443496-Reviews-Hyatt_Place_Jermuk-Jermuk_Vayots_Dzor_Province.html"
"Jermuk Life Hotel","Booking.com","AMD 20,825","6 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g2708780-d5858077-Reviews-Jermuk_Life_Hotel-Jermuk_Vayots_Dzor_Province.html"
"Ararat Health SPA","Booking.com","AMD 15,417","8 reviews","Free Wifi","","","","","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g2708780-d6475460-Reviews-Ararat_Health_SPA-Jermuk_Vayots_Dzor_Province.html"
"Jermuk Verona Resort","Booking.com","AMD 9,000","45 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g2708780-d3531692-Reviews-Jermuk_Verona_Resort-Jermuk_Vayots_Dzor_Province.html"
"Jermuk Ashkharh Sanatorium","Booking.com","AMD 22,500","8 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g2708780-d6475336-Reviews-Jermuk_Ashkharh_Sanatorium-Jermuk_Vayots_Dzor_Province.html"
